Cost Item,RAW,Conv SWAE,MLP SWAE,MLP SWAE INT8,MLP SWAE FLOAT8
Payload bytes (FP32),500,32,32,8,8
Encode FLOPs,0,57343552,394240,394240,394240
Encode time (µs),0,2.9406949743589745,0.0202174358974359,0.0012635897435897437,0.006739145299145299
Encode data assembly (µs),0,0.0003125,0.0003125,0.0003125,0.0003125
Memory IO (kB),2.0,8.1,0.625,0.625,0.625
Decode FLOPs,0,24902144,394240,394240,394240
Decode time (µs),0,1.2770330256410256,0.0202174358974359,0.0012635897435897437,0.006739145299145299
Decode data assembly (µs),0,0.0003125,0.0003125,0.0003125,0.0003125
Kernel launch overhead (µs),0,20,5,5,5
Peak VRAM (kB),—,1024,256,256,256
PSNR (approx),lossless,48+ dB,47+ dB,46+ dB,47+ dB
Parameter Storage (MB),—,3.2,0.398,0.398,0.398
