Variable,Model,Scale_Range,Near_Zero_Ratio,Mean_Diff,Std_Diff
U_ALPHA,poslog,2.30,0.0000,2.465354063e-05,1.635380496e-05
U_CHI,poslog,4.00,0.0000,2.873271997e-05,1.758809014e-05
U_K,poslog,9.62,0.0845,1.180909285e-06,1.026605804e-05
U_GT0,poslog,13.88,0.0875,1.092128014e-05,1.414532481e-05
U_GT1,poslog,15.01,0.0866,1.656827177e-05,1.811853357e-05
U_GT2,asinh,19.99,0.2228,2.639215639e-05,3.470656790e-05
U_BETA0,poslog,12.94,0.0851,6.174499354e-07,4.863721100e-06
U_BETA1,poslog,14.08,0.0848,1.309827245e-06,3.418570960e-06
U_BETA2,poslog,20.30,0.2243,1.174850094e-05,7.309049026e-06
U_B0,poslog,14.74,0.0973,7.262443070e-07,2.627614122e-06
U_B1,poslog,14.55,0.0964,1.973323887e-07,1.334979143e-06
U_B2,asinh,19.75,0.2358,2.100122768e-06,1.299078996e-05
U_SYMGT0,poslog,0.20,0.0000,2.848266003e-06,2.171779102e-06
U_SYMGT1,poslog,9.56,0.0198,5.592801490e-06,1.259413842e-05
U_SYMGT2,asinh,19.16,0.1983,1.074972436e-05,1.060325387e-05
U_SYMGT3,poslog,0.20,0.0000,3.686265078e-06,3.894796509e-07
U_SYMGT4,poslog,20.15,0.1872,1.051407865e-06,5.621810608e-06
U_SYMGT5,poslog,0.08,0.0000,3.779924181e-06,3.120983109e-06
U_SYMAT0,poslog,13.25,0.0746,1.706395131e-05,4.326676086e-04
U_SYMAT1,poslog,12.62,0.0732,1.173474456e-04,1.398714411e-03
U_SYMAT2,asinh,22.01,0.2215,3.435611032e-05,1.693839227e-04
U_SYMAT3,asinh,12.15,0.0702,9.904372702e-04,1.762894741e-03
U_SYMAT4,asinh,22.05,0.2137,4.795132252e-05,4.970674421e-04
U_SYMAT5,poslog,14.20,0.0752,5.635270265e-04,3.891870670e-02
